City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,badger,64.8,-147.5333,281.29,49,75,3.09,US,1683398336
206,enewetak,11.3474,162.3373,300.36,82,97,8.17,MH,1683398336
207,wewak,-3.5534,143.6268,300.3,85,100,2.19,PG,1683398336
208,ajaigarh,24.9,80.2667,305.17,25,0,0.88,IN,1683398337
209,banlung,13.7468,107.0045,298.82,72,28,1.1,KH,1683398337
210,lihue,21.9789,-159.3672,297.24,74,100,8.23,US,1683398337
211,petauke,-14.2426,31.3253,288.71,60,0,2.07,ZM,1683398337
212,malvan,16.0667,73.4667,300.99,70,97,3.67,IN,1683398338
213,yarmouth,41.7057,-70.2286,296.56,38,0,4.12,US,1683398338
214,huayin,34.5675,110.0921,285.85,91,100,2.63,CN,1683398338
215,talnakh,69.4865,88.3972,254.55,98,79,1.33,RU,1683398338
216,norilsk,69.3535,88.2027,254.48,99,57,0.94,RU,1683398338
217,pitimbu,-7.4706,-34.8086,303.48,70,8,4.79,BR,1683398339
218,namibe,-15.1961,12.1522,295.82,79,21,5.35,AO,1683398339
219,hinesville,31.8469,-81.5959,296.0,76,75,0.0,US,1683398339
220,sitangkai,4.6628,119.3928,301.66,77,100,2.9,PH,1683398339
221,castillos,-34.1667,-53.8333,292.21,98,100,4.63,UY,1683398340
222,coquimbo,-29.9533,-71.3436,290.0,63,0,5.14,CL,1683398340
223,haiku-pauwela,20.9219,-156.3051,297.62,78,40,8.23,US,1683398340
224,bamboo flat,11.7,92.7167,301.98,76,14,2.98,IN,1683398340
225,qingdao,36.0986,120.3719,286.93,77,0,4.0,CN,1683398341
226,coronel dorrego,-38.7187,-61.2873,288.22,50,100,3.54,AR,1683398341
227,faya-largeau,17.9257,19.1043,304.32,15,0,5.11,TD,1683398341
228,shenjiamen,29.9576,122.298,288.26,96,100,7.11,CN,1683398341
229,bojnurd,37.4747,57.329,284.12,62,0,2.06,IR,1683398341
230,uturoa,-16.7333,-151.4333,300.95,77,100,8.81,PF,1683398342
231,crane,31.3974,-102.3501,304.27,18,89,2.36,US,1683398342
232,ad dabbah,18.05,30.95,306.91,12,100,9.06,SD,1683398342
233,sainyabuli,19.25,101.75,299.23,57,0,0.44,LA,1683398343
234,beira,-19.8436,34.8389,298.2,78,0,3.09,MZ,1683398343
235,poquoson,37.1224,-76.3458,297.22,49,20,4.12,US,1683398343
236,hobyo,5.3505,48.5268,301.29,81,100,9.53,SO,1683398343
237,kotel'nikovo,47.6317,43.1461,288.54,78,100,5.95,RU,1683398343
238,olonkinbyen,70.9221,-8.7187,272.46,98,100,4.32,SJ,1683398344
239,severo-yeniseyskiy,60.3725,93.0408,270.17,98,91,1.62,RU,1683398344
240,dzuunmod,48.2199,97.3744,276.71,57,100,0.99,MN,1683398344
241,la'ie,21.6477,-157.9253,298.4,73,100,2.24,US,1683398344
242,salmon arm,50.6998,-119.3024,285.71,94,100,0.51,CA,1683398216
243,tiksi,71.6872,128.8694,256.33,100,95,2.26,RU,1683398345
244,mount pearl,47.5166,-52.7813,278.68,85,100,6.17,CA,1683398345
245,sudak,44.85,34.9667,287.48,80,100,5.05,UA,1683398345
246,santa ana,33.7456,-117.8678,294.57,57,75,4.12,US,1683398312
247,malango,-2.9627,119.9001,292.8,98,69,0.88,ID,1683398346
248,laurel,39.0993,-76.8483,297.45,41,40,4.12,US,1683398050
249,neiafu,-18.65,-173.9833,298.53,88,20,0.0,TO,1683398346
250,krivosheino,57.3431,83.9261,284.35,93,31,2.41,RU,1683398346
251,puerto rico,-26.796,-55.024,299.69,96,100,1.09,AR,1683398347
252,shendi,16.6915,33.4341,308.88,6,11,4.61,SD,1683398347
253,uyar,55.81,94.3153,280.8,95,59,1.22,RU,1683398347
254,ancud,-41.8697,-73.8203,285.51,91,100,3.47,CL,1683398347
255,tinajo,29.0788,-13.7081,295.64,64,75,9.77,ES,1683398347
256,olyokminsk,60.3736,120.4264,276.39,97,100,4.71,RU,1683398348
257,katsuura,35.1333,140.3,293.53,87,100,13.53,JP,1683398348
258,jieshi,22.8134,115.8257,299.1,91,100,4.36,CN,1683398348
259,richmond,37.5538,-77.4603,297.17,45,75,3.09,US,1683398065
260,maracaju,-21.6144,-55.1683,300.53,63,100,2.03,BR,1683398349
261,tukzar,35.9483,66.4213,284.83,61,5,1.39,AF,1683398349
